State,County,Women,White,Citizen,IncomePerCap,Poverty,ChildPoverty,Professional,Service,Office,Production,Drive,Carpool,Transit,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,SelfEmployed,FamilyWork,Unemployment,Minority
Illinois,Macon,52.07018765,77.31363732,76.3849331,26895.22703,18.71482329,26.82326431,30.97086993,20.00269523,23.62556574,16.32645316,82.38425265,10.20842179,1.402084383,1.311332228,2.474049619,18.31929519,44.67594077,82.75937285,4.763021439,0.21007299,10.94494977,18.09389521
Illinois,Macoupin,50.52941679,96.48678806,77.88617539,25961.82555,12.53205747,18.90586414,30.89924643,15.48552643,24.60867774,17.25943771,82.67075186,9.176016139,0.285280932,1.289302792,3.910161387,28.04579882,45.03885236,79.32198787,5.946272735,0.208850653,9.592203911,2.154348476
Illinois,Madison,51.09853529,85.97019554,76.58403028,28336.67586,13.39513682,17.41330211,33.34424326,17.7303685,24.7456268,15.31036969,85.00965754,7.333040964,1.883820075,0.964393169,3.665180508,24.81678399,46.76536154,83.00613639,4.04568478,0.066821392,9.021192343,12.07362244
Illinois,Marion,51.04357946,91.89359628,76.53174706,22808.10788,18.64954351,30.0858787,26.84177163,22.24945041,19.84791672,22.51937411,83.54509505,9.955696366,0.486962369,1.485182982,2.515142894,20.71703867,44.1381094,78.87914393,5.721875081,0.038370619,9.756490366,6.296834346
Illinois,Marshall,50.6777294,95.14065555,78.66589994,27738.96049,10.12919576,15.98437526,28.14793395,19.54192886,19.68339768,20.79569539,81.15706071,10.56170213,0,1.04312002,4.332399573,25.74463978,46.42241025,81.00647334,7.741649552,0.618721761,6.540433747,4.249346915
Illinois,Mason,50.48846099,96.79794705,78.14667988,24173.20416,15.18274104,21.23022795,28.39758601,17.73562226,21.85459437,19.17952003,82.20694464,9.200672519,0.291292652,1.476504318,3.524791165,25.43339941,43.81990656,74.04148379,9.677672377,0,9.551684836,2.18228798
Illinois,Massac,51.75812467,89.13363079,77.55727224,22927.57499,18.36366542,26.78457645,28.76899307,22.01539691,20.70841769,16.68568194,85.69873468,6.773108684,0.822083111,2.820338306,1.589198189,19.96614278,38.765317,80.13379062,5.278556207,0.064757592,9.017261588,8.980074587
Illinois,McDonough,51.62494063,90.39239433,79.77135491,23182.58474,23.94803922,19.94620056,35.26972997,21.3418278,23.41676844,13.26497049,80.19798155,7.858874415,0.89665174,1.737929982,3.037146346,14.91343714,45.99023,64.65008142,5.383380826,0.14300156,8.177908949,7.893730918
Illinois,McHenry,50.19147116,82.55532557,70.10316993,33735.51366,7.889986888,10.83626011,36.91900071,15.14380346,26.96559668,12.70065136,82.38499172,7.356490335,2.869948301,0.879855347,5.535937037,34.37983875,51.15419528,84.73364166,4.777680678,0.087426023,8.042775339,15.98002681
Illinois,McLean,51.31647354,80.39557459,74.04773733,31305.30068,16.26593574,14.22515626,41.97916055,17.90694571,25.55815474,8.825693474,78.99305718,9.466335478,1.910588976,1.590231293,3.26470014,17.86185462,52.4567626,81.86588318,4.01599293,0.175152789,5.556102337,17.28235325
Illinois,Menard,51.16961383,96.01338514,77.03592102,30577.92197,11.38967568,19.54211403,35.29722465,18.44825946,24.23490603,10.26214416,79.62378876,14.59383871,0.048172231,0.503861708,3.543604789,27.06824994,49.57576719,70.82046626,5.795250178,0.116303227,5.756926493,2.839711363
Illinois,Mercer,50.36940461,96.17426585,77.66809462,26823.50506,9.457999627,13.12592662,29.54777426,13.27471907,23.96287328,20.14405538,85.84214938,7.612336251,0,1.161879928,4.240802136,27.80996461,46.98578258,79.56571056,8.42615633,0.095250512,6.239163097,2.939988825
Illinois,Monroe,50.94665911,96.61312204,76.59441248,32889.42509,4.99983303,7.844983452,37.34780107,15.08431677,27.11277915,10.78220579,85.28945109,7.844929783,0.745451564,0.332076091,5.00905513,29.64620293,51.04505203,83.24966457,4.645514178,0.057855034,5.137308805,2.548024688
Illinois,Montgomery,47.92830857,88.10004089,78.88442143,19865.91073,14.43377743,19.37697969,30.17766798,20.85546886,25.29038435,14.31809323,85.92008314,7.088200218,0.46019831,0.552623688,3.274492299,24.26903366,32.72454682,75.72036936,7.786677116,0.048715415,5.081988551,11.06296852
Illinois,Morgan,49.4406331,89.19034985,78.61595833,24585.70119,14.88011899,19.15606764,31.33126477,19.228606,22.92170002,17.70466566,81.18765977,9.564348544,0.264049646,1.099097612,3.824686157,19.09996584,45.79976657,76.3553759,7.03498534,0.190850864,8.635349711,8.863138717
Illinois,Moultrie,51.08863134,97.19226234,74.8844376,25052.77216,13.22133047,23.74692169,28.09807061,16.11459101,22.5339519,24.62557111,78.09003819,10.21112079,0.062946339,3.583345615,4.799792323,21.22803644,46.64701548,81.72608026,8.030535272,0.115066658,4.848857775,1.923440745
Illinois,Ogle,50.18226234,87.97242972,73.52138481,27450.80363,10.63891635,14.47499093,31.18138252,16.25791362,20.8886463,21.78667481,83.18397618,9.68249709,0.414853904,0.907721816,4.15589633,24.59966792,47.69166174,79.83172319,5.582338684,0.146077065,8.031896864,10.75342481
Illinois,Peoria,51.55521826,71.24647858,73.41538758,28610.24399,17.44614723,23.08678225,36.99086376,19.4676552,24.56844884,11.94210206,81.95318846,8.746676322,2.952956518,1.432613622,2.491735431,19.38926205,45.76884433,85.93390696,3.658669139,0.106300505,9.171551263,25.69084719
Illinois,Perry,46.94176983,86.31071985,79.52315452,21719.54654,16.94575424,27.15057772,24.76937643,21.36523613,18.56801467,20.37937643,86.29225126,8.700224668,0.616441999,0.501251719,2.395281981,25.62584136,38.11095828,75.36134801,5.428642824,0.47521779,8.000096286,11.74420449
Illinois,Piatt,50.4637769,96.81957563,76.8960291,32723.53562,6.217362837,8.928366172,36.00134586,14.9718642,24.07225826,13.25382237,81.52846317,11.13706578,0.789463474,1.1960291,4.138017581,23.82763262,51.23370718,71.14733556,7.953907245,0.092894817,6.364383146,1.549130039
Illinois,Pike,50.11769078,95.6367505,77.26709613,21594.02589,13.69001487,15.57210728,25.62052156,19.78735753,20.67423811,19.49417121,81.69333499,9.489482161,0.228871407,1.104843905,3.834960357,25.35012389,44.58002973,74.20164767,8.24916997,0.539853816,5.576480426,3.300061943
Illinois,Pope,48.23366428,93.17804202,83.4911106,21131.07504,14.88042023,22.53897483,21.70974371,23.53174786,20.05855461,21.10471023,77.9926345,9.180420226,0.787785731,1.617063034,6.544008312,30.33421843,33.91826368,74.82666821,6.429323482,0.697575618,10.01221427,5.982936966
Illinois,Pulaski,51.14971896,63.54910577,76.42650315,18922.92574,20.20763073,28.79867144,25.98088912,26.72229603,20.20637029,16.74140692,83.44266735,6.902554931,0.451592574,1.909555442,4.131851473,25.79110884,32.95861012,71.34396185,6.031851473,0.048407426,16.19044456,34.21204224
Illinois,Putnam,49.46753693,93.13582961,77.92854689,29917.71728,11.93582961,25.36788045,28.76046032,17.48495362,19.81882515,20.33387152,88.10748884,8.447165922,0,0.662281003,1.058502233,23.20573686,48.55719684,79.24905531,7.118893851,0.049055307,9.928272071,5.230230161
Illinois,Randolph,45.86470713,85.63046358,79.96008346,22895.17893,13.15805437,16.25048535,24.30971605,20.96964831,18.14697451,24.32910883,82.89306299,10.62021833,0.080703983,0.413202697,2.609313859,23.70485651,41.42248027,79.12307599,5.313901237,0.19393692,6.791000635,13.44995313
Illinois,Richland,50.30073789,96.03484219,77.16252248,23498.24437,15.05271904,21.25846097,28.01611583,17.05521176,22.74058411,21.97842128,82.1365474,12.27194767,0.076455633,0.721863955,2.565070999,17.15842996,45.37111676,79.61171328,6.061393936,0.107862591,5.285539778,2.500514665
