sedalea,grade,stateabb,sedaleaname,subject,cs_mn_all,cs_mnse_all,totgyb_all,cs_mn_asn,cs_mnse_asn,totgyb_asn,cs_mn_blk,cs_mnse_blk,totgyb_blk,cs_mn_ecd,cs_mnse_ecd,totgyb_ecd,cs_mn_fem,cs_mnse_fem,totgyb_fem,cs_mn_hsp,cs_mnse_hsp,totgyb_hsp,cs_mn_mal,cs_mnse_mal,totgyb_mal,cs_mn_mfg,cs_mnse_mfg,totgyb_mfg,cs_mn_mtr,cs_mnse_mtr,totgyb_mtr,cs_mn_nam,cs_mnse_nam,totgyb_nam,cs_mn_nec,cs_mnse_nec,totgyb_nec,cs_mn_neg,cs_mnse_neg,totgyb_neg,cs_mn_wag,cs_mnse_wag,totgyb_wag,cs_mn_wbg,cs_mnse_wbg,totgyb_wbg,cs_mn_whg,cs_mnse_whg,totgyb_whg,cs_mn_wht,cs_mnse_wht,totgyb_wht,cs_mn_wmg,cs_mnse_wmg,totgyb_wmg,cs_mn_wng,cs_mnse_wng,totgyb_wng
620190,5,CA,LA HABRA CITY ELEMENTARY                                    ,rla,-0.4563109158518856,0.049923250980675016,526.0,,,15.0,,,5.0,-0.5872397012286976,0.0561754556206113,410.0,-0.2787165916847053,0.059905233341885,270.0,-0.5207775382227088,0.0528128021300782,465.0,-0.6671507500099593,0.0797898864184415,256.0,-0.3983374609165921,0.0996788590988714,526.0,,,4.0,,,,0.0282455360439938,0.0889343215564913,116.0,0.6341210326291282,0.1049307860714893,526.0,,,,,,,,,,,,,,,,,,
620190,6,CA,LA HABRA CITY ELEMENTARY                                    ,mth,-0.6618713628456845,0.0648835104000704,473.0,,,,,,4.0,-0.7501140014311715,0.0716966563450671,369.0,-0.6026220568544898,0.0872952602388045,224.0,-0.7117415540300362,0.0690570169181866,413.0,-0.718558974712142,0.0929621882338143,249.0,-0.1320963544048109,0.1273898615407165,473.0,,,7.0,,,,-0.3102615089122878,0.1303102829671435,104.0,0.4605019914429961,0.1482956221953777,473.0,,,,0.897676322875079,0.630500438373717,35.0,0.4131112203711201,0.2182330960519614,444.0,-0.2424257749985267,0.2101232350832118,31.0,-0.0512390342305765,0.4303392212520173,38.0,,,
620190,6,CA,LA HABRA CITY ELEMENTARY                                    ,rla,-0.5108093051094019,0.0505167605518976,470.0,,,,,,4.0,-0.6113911342296504,0.0547062243894522,368.0,-0.2893925807757376,0.0612469533624413,224.0,-0.5498978480478253,0.0514177343506174,411.0,-0.7420853126256782,0.0796539841869139,246.0,-0.4457403712614852,0.1003740237085605,470.0,,,7.0,,,,-0.125245575438322,0.1019624579915909,102.0,0.4844657831084905,0.1153606841649395,470.0,,,,1.378610003522031,0.607215887041168,35.0,0.48537539397037,0.1946311155529898,442.0,-0.0039792303648826,0.1905298825742298,31.0,0.1818884502726194,0.4317021208296835,38.0,,,
620190,7,CA,LA HABRA CITY ELEMENTARY                                    ,mth,-0.5673799093112142,0.0547055854255878,528.0,,,16.0,,,7.0,-0.7070759472727063,0.0628562350236759,405.0,-0.5667684382426188,0.074828046773582,259.0,-0.649081167038374,0.0605066599942993,461.0,-0.5737101574570944,0.0747692767031243,269.0,0.0043351732743719,0.1056812332690207,528.0,,,7.0,,,2.0,-0.0947469601557289,0.0915455607738422,123.0,0.6323509749975187,0.110802781658112,528.0,-0.8116899189530717,0.3764474904718632,51.0,0.1240412850878725,0.4195834298070882,42.0,0.3473719518883612,0.2003596593680859,496.0,-0.2768291182926743,0.1935401003358349,35.0,-0.5640197533226905,0.4093424298354523,42.0,,,37.0
620190,7,CA,LA HABRA CITY ELEMENTARY                                    ,rla,-0.2488067361869672,0.0497295876569847,528.0,,,16.0,,,,-0.40593368804409496,0.054015541564273,405.0,-0.0633620381561688,0.067787240761685,260.0,-0.3056032322954344,0.0517667322973893,460.0,-0.4257774547288119,0.0658290669986714,268.0,-0.3528841252253213,0.0944017116117613,528.0,,,7.0,,,2.0,0.3059976618196819,0.0932220949629644,123.0,0.6942819414827012,0.1074824204133468,528.0,-0.3128258745009943,0.3378217813240805,52.0,,,,0.3608519152214,0.1823808255208752,496.0,0.0812227029843298,0.17713142733318502,36.0,-0.2957792048479836,0.4262460385873323,43.0,,,38.0
620190,8,CA,LA HABRA CITY ELEMENTARY                                    ,mth,-0.6424804037498273,0.0611332142864572,551.0,,,12.0,,,8.0,-0.7044263459100356,0.0657781413993023,408.0,-0.5263646404614551,0.0750499170865881,262.0,-0.7197947126570874,0.0644822543135151,479.0,-0.7755090754353111,0.0923012083116245,289.0,-0.2500520737179392,0.118856077017546,551.0,,,7.0,,,,-0.3195003940802317,0.1126318800356862,143.0,0.4135165938046769,0.1301713477992749,551.0,-0.2280613119525876,0.4005985342924136,57.0,1.207664462299994,0.4562463217970821,53.0,0.7315286350102054,0.184459243117328,524.0,0.0150241531400292,0.1745772784670214,45.0,-0.9881353342653254,0.4332294133710283,52.0,,,
620190,8,CA,LA HABRA CITY ELEMENTARY                                    ,rla,-0.3664646133646279,0.0507142173373624,546.0,,,12.0,,,8.0,-0.4683867287127796,0.0545024338506606,405.0,-0.106138408948383,0.0624886605988219,260.0,-0.4410988371178704,0.053121945849946,474.0,-0.6178670721205306,0.0708649423333541,286.0,-0.5058335032091177,0.0943953474034576,546.0,,,7.0,,,,-0.0327403215497645,0.0961199013976078,141.0,0.4419045237516336,0.1102691739701024,546.0,-0.0552189744064915,0.3559913403312742,57.0,0.6916118213705181,0.3693711200252633,53.0,0.5995610136501679,0.1655237799543462,519.0,0.17006323720980898,0.1583588865979229,45.0,-0.6638506885138951,0.43214497014252,52.0,,,
620220,6,CA,LA HONDA-PESCADERO UNIFIED                                  ,mth,,,18.0,,,,,,,,,13.0,,,14.0,,,13.0,,,4.0,,,18.0,,,,,,,,,5.0,,,18.0,,,,,,,,,18.0,,,5.0,,,,,,
620220,6,CA,LA HONDA-PESCADERO UNIFIED                                  ,rla,,,18.0,,,,,,,,,13.0,,,14.0,,,13.0,,,4.0,,,18.0,,,,,,,,,5.0,,,18.0,,,,,,,,,18.0,,,5.0,,,,,,
620220,7,CA,LA HONDA-PESCADERO UNIFIED                                  ,mth,-0.2935113200561885,0.2282507976902988,23.0,,,,,,,,,14.0,,,14.0,,,14.0,,,9.0,,,23.0,,,2.0,,,,,,9.0,,,23.0,,,,,,,,,21.0,,,7.0,,,9.0,,,
